model_tag,domain,rows,seq_len_mean,erank_mean,erank_per_token_mean,mean_dist_mean,mean_dist_per_token_mean,diag_conc_mean
gemma3_4b,business,1088,222.25,77.27896571691177,0.34773227678486485,63.74743455882352,0.28682541888176377,0.2764489889705882
gemma3_4b,technical,1088,223.25,77.3158458639706,0.3464447136672233,63.730043382352946,0.28553304248942846,0.2753574448529412
gemma3_4b,travel,1088,546.5,180.11989954044117,0.32939985517183906,141.62915174632352,0.2593575322078777,0.2445401654411765
ministral8b,business,4608,325.0,61.23101595052083,0.1883712431372997,117.30939121093749,0.3609995133421507,0.14807434895833332
ministral8b,technical,4608,327.25,62.263502582465286,0.19028931978381655,117.4072095486111,0.35876220998582453,0.14871063368055557
ministral8b,travel,4608,720.5,137.1260150390625,0.19022502264757823,256.00250518663194,0.35533891660683375,0.13040234375
qwen3_8b,business,4608,208.25,54.82293621961806,0.2633123696498967,65.79556844618055,0.31592621318387437,0.22762621527777777
qwen3_8b,technical,4608,220.0,57.57234837239584,0.26176852178433907,68.94849047309027,0.31345880815450966,0.22389238281249998
qwen3_8b,travel,4608,511.0,127.32635868055556,0.2489535917662888,148.83627302517363,0.2915260205452866,0.1940995876736111
