model_tag,protocol,feature_set,class,support,recall
gemma3_4b,group_split_by_model_task_layer,full,banded,5,1.0
gemma3_4b,group_split_by_model_task_layer,full,lowrank,673,0.919762
gemma3_4b,group_split_by_model_task_layer,full,monarch,138,0.942029
gemma3_4b,leave_one_prompt::BZ01,full,banded,3,1.0
gemma3_4b,leave_one_prompt::BZ01,full,lowrank,239,0.920502
gemma3_4b,leave_one_prompt::BZ01,full,monarch,30,0.966667
gemma3_4b,leave_one_prompt::BZ02,full,banded,3,1.0
gemma3_4b,leave_one_prompt::BZ02,full,lowrank,237,0.915612
gemma3_4b,leave_one_prompt::BZ02,full,monarch,32,0.96875
gemma3_4b,leave_one_prompt::BZ05,full,banded,3,1.0
gemma3_4b,leave_one_prompt::BZ05,full,lowrank,234,0.935897
gemma3_4b,leave_one_prompt::BZ05,full,monarch,35,0.942857
gemma3_4b,leave_one_prompt::BZ09,full,banded,3,1.0
gemma3_4b,leave_one_prompt::BZ09,full,lowrank,227,0.938326
gemma3_4b,leave_one_prompt::BZ09,full,monarch,42,0.97619
gemma3_4b,leave_one_prompt::TC01,full,banded,3,1.0
gemma3_4b,leave_one_prompt::TC01,full,lowrank,237,0.907173
gemma3_4b,leave_one_prompt::TC01,full,monarch,32,0.90625
gemma3_4b,leave_one_prompt::TC02,full,banded,2,0.5
gemma3_4b,leave_one_prompt::TC02,full,lowrank,233,0.939914
gemma3_4b,leave_one_prompt::TC02,full,monarch,37,0.918919
gemma3_4b,leave_one_prompt::TC08,full,banded,2,1.0
gemma3_4b,leave_one_prompt::TC08,full,lowrank,233,0.935622
gemma3_4b,leave_one_prompt::TC08,full,monarch,37,0.918919
gemma3_4b,leave_one_prompt::TC10,full,banded,2,1.0
gemma3_4b,leave_one_prompt::TC10,full,lowrank,232,0.913793
gemma3_4b,leave_one_prompt::TC10,full,monarch,38,0.947368
gemma3_4b,leave_one_prompt::TR01,full,banded,0,0.0
gemma3_4b,leave_one_prompt::TR01,full,lowrank,197,0.939086
gemma3_4b,leave_one_prompt::TR01,full,monarch,75,0.893333
gemma3_4b,leave_one_prompt::TR02,full,banded,1,1.0
gemma3_4b,leave_one_prompt::TR02,full,lowrank,198,0.939394
gemma3_4b,leave_one_prompt::TR02,full,monarch,73,0.90411
gemma3_4b,leave_one_prompt::TR05,full,banded,1,1.0
gemma3_4b,leave_one_prompt::TR05,full,lowrank,198,0.934343
gemma3_4b,leave_one_prompt::TR05,full,monarch,73,0.945205
gemma3_4b,leave_one_prompt::TR08,full,banded,1,1.0
gemma3_4b,leave_one_prompt::TR08,full,lowrank,195,0.928205
gemma3_4b,leave_one_prompt::TR08,full,monarch,76,0.960526
gemma3_4b,leave_one_prompt_macro,full,banded,24,0.958333
gemma3_4b,leave_one_prompt_macro,full,lowrank,2660,0.928571
gemma3_4b,leave_one_prompt_macro,full,monarch,580,0.934483
gemma3_4b,group_split_by_model_task_layer,no_seq_len,banded,5,1.0
gemma3_4b,group_split_by_model_task_layer,no_seq_len,lowrank,673,0.922734
gemma3_4b,group_split_by_model_task_layer,no_seq_len,monarch,138,0.956522
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,banded,3,1.0
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,lowrank,239,0.916318
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,monarch,30,0.966667
