model_tag,target_group,n_interventions,kl_mean,kl_mean_ci95_low,kl_mean_ci95_high,kl_median,kl_median_ci95_low,kl_median_ci95_high
gemma3_4b,high_complex_global,36,0.4921846666666667,0.08093304722222219,1.2168380874999996,0.02044,0.007239,0.066512
gemma3_4b,local_band,36,0.4303374166666667,0.19176537708333333,0.7449012256944446,0.07836599999999999,0.01541,0.171523
gemma3_4b,low_rank_diffuse,36,0.03628597222222222,0.020910690972222222,0.05365227986111111,0.0130305,0.0084315,0.025172
ministral8b,high_complex_global,36,0.05582016666666664,0.024388161111111112,0.10268777222222218,0.019232,0.00841,0.0329625
ministral8b,local_band,36,0.0037955833333333335,0.002051476388888889,0.00589712638888889,0.001706,0.000905,0.002491
ministral8b,low_rank_diffuse,36,0.0036600277777777777,0.0026477652777777776,0.004742377083333332,0.0024644999999999997,0.001466,0.0036505
qwen3_8b,high_complex_global,36,0.023317805555555553,0.011547400000000001,0.039949126388888874,0.0075060000000000005,0.0036215,0.013556499999999999
qwen3_8b,local_band,36,0.03701144444444445,0.017340572916666665,0.06284514513888886,0.010297,0.004513,0.022912
qwen3_8b,low_rank_diffuse,36,0.0844591388888889,0.03659818680555556,0.1487436020833333,0.0181995,0.009034,0.0448565
