model_tag,target_group,layer,head,n_prompts,kl_mean,kl_median,js_mean,top10_overlap_mean,source_erank,source_diag_conc,source_mean_dist
gemma3_4b,high_complex_global,11,2,6,2.6942506666666666,0.7877125,0.232869,0.4666666666666666,191.54863333333333,0.286,87.91341666666666
gemma3_4b,high_complex_global,22,4,6,0.026728166666666667,0.0238505,0.006381833333333333,0.8500000000000001,249.31613333333334,0.361925,73.03223333333334
gemma3_4b,high_complex_global,31,2,6,0.11670016666666666,0.008473999999999999,0.02453,0.8833333333333333,165.7208,0.2607416666666666,107.34972499999999
gemma3_4b,high_complex_global,31,4,6,0.05510983333333333,0.017625,0.009660833333333332,0.8333333333333334,166.81984166666666,0.2603166666666667,107.97698333333334
gemma3_4b,high_complex_global,31,6,6,0.05407399999999999,0.038378499999999996,0.0125585,0.9166666666666666,163.377675,0.2311833333333333,104.66947499999999
gemma3_4b,high_complex_global,33,3,6,0.006245166666666666,0.0030805,0.0015241666666666667,0.8833333333333333,156.20923333333334,0.2540833333333333,111.4472
gemma3_4b,local_band,0,4,6,0.4713471666666667,0.5442750000000001,0.10245833333333333,0.6833333333333332,262.1035083333333,0.9341166666666668,2.79265
gemma3_4b,local_band,4,5,6,0.3632465,0.15708149999999999,0.0664715,0.7000000000000001,178.50811666666667,0.6897000000000001,29.030616666666663
gemma3_4b,local_band,4,6,6,0.33946000000000004,0.116647,0.06533083333333334,0.75,319.10356666666667,0.909725,7.868941666666667
gemma3_4b,local_band,14,7,6,1.4002906666666668,0.6338765000000001,0.1643805,0.6166666666666667,320.0781,0.7155333333333332,25.103058333333333
gemma3_4b,local_band,33,5,6,0.006529666666666667,0.0058555,0.0017291666666666668,0.9166666666666666,255.63200833333335,0.6615583333333334,37.3009
gemma3_4b,local_band,33,7,6,0.0011505,0.000949,0.00028766666666666665,0.9833333333333334,328.76526666666666,0.9591499999999998,6.460825
gemma3_4b,low_rank_diffuse,27,0,6,0.066594,0.06979199999999999,0.0175165,0.9166666666666666,15.676274999999999,0.06645,156.13494166666666
gemma3_4b,low_rank_diffuse,28,1,6,0.03207466666666666,0.0130755,0.0067915,0.9166666666666666,9.583066666666666,0.0532,150.08286666666666
gemma3_4b,low_rank_diffuse,28,6,6,0.030925833333333333,0.0180755,0.007438166666666667,0.9166666666666666,3.651275,0.0381416666666666,154.853775
gemma3_4b,low_rank_diffuse,28,7,6,0.07005733333333333,0.039487499999999995,0.01974266666666667,0.9,3.9080333333333335,0.0408333333333333,155.39915
gemma3_4b,low_rank_diffuse,29,6,6,0.013536,0.0093675,0.003774833333333333,0.9500000000000001,12.577616666666666,0.0623416666666666,158.632325
gemma3_4b,low_rank_diffuse,31,1,6,0.004528,0.004588,0.0011226666666666668,0.9,2.5476,0.035725,158.56444166666665
ministral8b,high_complex_global,2,10,6,0.009366166666666667,0.0074585,0.0024351666666666666,0.9666666666666667,255.459025,0.2300333333333333,171.16930833333333
ministral8b,high_complex_global,5,24,6,0.21340766666666666,0.09758549999999999,0.05016883333333333,0.85,146.77435833333334,0.0894,174.80304166666667
ministral8b,high_complex_global,5,27,6,0.042290666666666664,0.02898,0.010033833333333334,0.8666666666666667,205.157875,0.180875,185.69635833333328
ministral8b,high_complex_global,8,24,6,0.046698500000000004,0.047331,0.011842833333333335,0.8833333333333333,286.0439833333333,0.2272583333333333,151.79319999999998
ministral8b,high_complex_global,13,17,6,0.010609500000000001,0.007331,0.002588,0.9333333333333332,136.82805833333333,0.1126416666666666,176.44150000000002
ministral8b,high_complex_global,33,13,6,0.012548499999999999,0.009374,0.002962666666666667,0.9500000000000001,154.4696,0.1665416666666666,188.47109166666667
ministral8b,local_band,0,8,6,0.010406166666666666,0.0073165,0.0026044999999999996,0.9166666666666666,261.51186666666666,0.6872416666666666,31.99315
ministral8b,local_band,0,10,6,0.005920333333333334,0.0025035,0.0015261666666666668,0.9833333333333334,391.24515,0.8235166666666666,27.581366666666668
ministral8b,local_band,14,7,6,0.0039195,0.0023035,0.0009726666666666667,0.9833333333333334,445.5622333333333,0.76425,41.08844166666667
ministral8b,local_band,17,22,6,0.0012408333333333334,0.000841,0.00031233333333333335,0.9833333333333334,448.5749583333333,0.7961,31.492975
ministral8b,local_band,26,4,6,0.0010495,0.0009544999999999999,0.000263,1.0,366.2835916666666,0.7667166666666666,42.966058333333336
ministral8b,local_band,35,14,6,0.00023716666666666667,2.1000000000000002e-05,6e-05,1.0,453.7423999999999,0.9405083333333332,11.6344
ministral8b,low_rank_diffuse,23,21,6,0.004315166666666666,0.002746,0.0010976666666666667,0.9833333333333334,2.450533333333333,0.0247583333333333,221.16705833333333
ministral8b,low_rank_diffuse,24,4,6,0.0029663333333333334,0.003071,0.0007501666666666667,1.0,2.4448,0.026583333333333303,220.03616666666667
ministral8b,low_rank_diffuse,24,24,6,0.006026833333333333,0.006082,0.0015503333333333333,0.9833333333333334,3.040525,0.027641666666666603,220.16075
ministral8b,low_rank_diffuse,27,12,6,0.0018851666666666667,0.0016350000000000002,0.0004696666666666667,1.0,2.382616666666667,0.0232,219.98170833333333
ministral8b,low_rank_diffuse,27,17,6,0.004935833333333334,0.005443,0.0012311666666666667,0.9500000000000001,2.3858166666666665,0.0242583333333333,219.26840833333333
ministral8b,low_rank_diffuse,31,17,6,0.0018308333333333334,0.0015645,0.00046466666666666667,0.9833333333333334,2.302633333333333,0.0237333333333333,219.16636666666668
qwen3_8b,high_complex_global,7,11,6,0.02971366666666667,0.012542999999999999,0.0067795,0.8666666666666667,156.45879166666666,0.274425,106.92231666666667
qwen3_8b,high_complex_global,10,21,6,0.060977166666666666,0.028266,0.015105833333333332,0.85,245.31154166666667,0.3555166666666667,80.43694166666667
qwen3_8b,high_complex_global,10,28,6,0.016214833333333335,0.016183,0.004159,0.8666666666666667,187.74440833333333,0.2881,96.37383333333334
qwen3_8b,high_complex_global,11,1,6,0.029502333333333335,0.008067,0.007439,0.9,179.31461666666667,0.2582666666666667,90.15249999999999
