model_tag,protocol,feature_set,n_test,classes,majority_class,accuracy,balanced_accuracy,macro_f1,majority_accuracy,majority_balanced_accuracy,majority_macro_f1
gemma3_4b,leave_one_prompt::TR01,full,272,"banded,lowrank,monarch",lowrank,0.926471,0.91621,0.608734,0.724265,0.5,0.280028
gemma3_4b,leave_one_prompt::TR02,full,272,"banded,lowrank,monarch",lowrank,0.930147,0.947835,0.776823,0.727941,0.333333,0.280851
gemma3_4b,leave_one_prompt::TR05,full,272,"banded,lowrank,monarch",lowrank,0.9375,0.95985,0.783787,0.727941,0.333333,0.280851
gemma3_4b,leave_one_prompt::TR08,full,272,"banded,lowrank,monarch",lowrank,0.9375,0.96291,0.785306,0.716912,0.333333,0.278373
gemma3_4b,leave_one_prompt_macro,full,3264,"banded,lowrank,monarch",lowrank,0.929841,0.940463,0.823918,0.814951,0.333333,0.299347
gemma3_4b,group_split_by_model_task_layer,no_seq_len,816,"banded,lowrank,monarch",lowrank,0.928922,0.959752,0.801563,0.824755,0.333333,0.301321
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.922794,0.960995,0.849217,0.878676,0.333333,0.311807
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.926471,0.96286,0.857161,0.871324,0.333333,0.310413
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.944853,0.970533,0.881861,0.860294,0.333333,0.3083
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.952206,0.974442,0.897717,0.834559,0.333333,0.303273
gemma3_4b,leave_one_prompt::TC01,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.911765,0.939214,0.83797,0.871324,0.333333,0.310413
gemma3_4b,leave_one_prompt::TC02,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.941176,0.961953,0.816549,0.856618,0.333333,0.307591
gemma3_4b,leave_one_prompt::TC08,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.933824,0.951514,0.807322,0.856618,0.333333,0.307591
gemma3_4b,leave_one_prompt::TC10,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.922794,0.955157,0.799388,0.852941,0.333333,0.306878
gemma3_4b,leave_one_prompt::TR01,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.926471,0.91621,0.608734,0.724265,0.5,0.280028
gemma3_4b,leave_one_prompt::TR02,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.933824,0.949518,0.779658,0.727941,0.333333,0.280851
gemma3_4b,leave_one_prompt::TR05,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.933824,0.958166,0.780983,0.727941,0.333333,0.280851
gemma3_4b,leave_one_prompt::TR08,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.941176,0.96462,0.788066,0.716912,0.333333,0.278373
gemma3_4b,leave_one_prompt_macro,no_seq_len,3264,"banded,lowrank,monarch",lowrank,0.932598,0.956253,0.832956,0.814951,0.333333,0.299347
ministral8b,group_split_by_model_task_layer,full,3456,"lowrank,monarch",lowrank,0.990451,0.986277,0.931259,0.968171,0.5,0.491914
ministral8b,leave_one_prompt::BZ01,full,1152,"lowrank,monarch",lowrank,0.986111,0.992832,0.905481,0.96875,0.5,0.492063
ministral8b,leave_one_prompt::BZ02,full,1152,"lowrank,monarch",lowrank,0.981771,0.990625,0.871739,0.972222,0.5,0.492958
ministral8b,leave_one_prompt::BZ05,full,1152,"lowrank,monarch",lowrank,0.986111,0.992838,0.90337,0.969618,0.5,0.492287
ministral8b,leave_one_prompt::BZ09,full,1152,"lowrank,monarch",lowrank,0.978299,0.97607,0.868068,0.967014,0.5,0.491615
ministral8b,leave_one_prompt::TC01,full,1152,"lowrank,monarch",lowrank,0.982639,0.991055,0.881851,0.970486,0.5,0.492511
ministral8b,leave_one_prompt::TC02,full,1152,"lowrank,monarch",lowrank,0.985243,0.992363,0.906678,0.966146,0.5,0.491391
ministral8b,leave_one_prompt::TC08,full,1152,"lowrank,monarch",lowrank,0.989583,0.959364,0.929111,0.96441,0.5,0.490941
ministral8b,leave_one_prompt::TC10,full,1152,"lowrank,monarch",lowrank,0.986111,0.992806,0.913043,0.965278,0.5,0.491166
ministral8b,leave_one_prompt::TR01,full,1152,"lowrank,monarch",lowrank,0.978299,0.979111,0.892643,0.956597,0.5,0.488909
ministral8b,leave_one_prompt::TR02,full,1152,"lowrank,monarch",lowrank,0.979167,0.961051,0.894505,0.955729,0.5,0.488682
ministral8b,leave_one_prompt::TR05,full,1152,"lowrank,monarch",lowrank,0.981771,0.981633,0.9125,0.953125,0.5,0.488
ministral8b,leave_one_prompt::TR08,full,1152,"lowrank,monarch",lowrank,0.977431,0.979514,0.896994,0.952257,0.5,0.487772
ministral8b,leave_one_prompt_macro,full,13824,"lowrank,monarch",lowrank,0.982711,0.981502,0.898243,0.963469,0.5,0.490697
ministral8b,group_split_by_model_task_layer,no_seq_len,3456,"lowrank,monarch",lowrank,0.988137,0.993873,0.918374,0.968171,0.5,0.491914
ministral8b,leave_one_prompt::BZ01,no_seq_len,1152,"lowrank,monarch",lowrank,0.986111,0.992832,0.905481,0.96875,0.5,0.492063
ministral8b,leave_one_prompt::BZ02,no_seq_len,1152,"lowrank,monarch",lowrank,0.980903,0.990179,0.867134,0.972222,0.5,0.492958
ministral8b,leave_one_prompt::BZ05,no_seq_len,1152,"lowrank,monarch",lowrank,0.984375,0.991943,0.893666,0.969618,0.5,0.492287
ministral8b,leave_one_prompt::BZ09,no_seq_len,1152,"lowrank,monarch",lowrank,0.980903,0.977417,0.880435,0.967014,0.5,0.491615
ministral8b,leave_one_prompt::TC01,no_seq_len,1152,"lowrank,monarch",lowrank,0.980903,0.990161,0.872809,0.970486,0.5,0.492511
ministral8b,leave_one_prompt::TC02,no_seq_len,1152,"lowrank,monarch",lowrank,0.983507,0.991465,0.897757,0.966146,0.5,0.491391
ministral8b,leave_one_prompt::TC08,no_seq_len,1152,"lowrank,monarch",lowrank,0.986979,0.969759,0.915963,0.96441,0.5,0.490941
ministral8b,leave_one_prompt::TC10,no_seq_len,1152,"lowrank,monarch",lowrank,0.984375,0.991906,0.904083,0.965278,0.5,0.491166
ministral8b,leave_one_prompt::TR01,no_seq_len,1152,"lowrank,monarch",lowrank,0.983507,0.981833,0.91446,0.956597,0.5,0.488909
ministral8b,leave_one_prompt::TR02,no_seq_len,1152,"lowrank,monarch",lowrank,0.979167,0.970401,0.89614,0.955729,0.5,0.488682
ministral8b,leave_one_prompt::TR05,no_seq_len,1152,"lowrank,monarch",lowrank,0.980903,0.972374,0.907648,0.953125,0.5,0.488
ministral8b,leave_one_prompt::TR08,no_seq_len,1152,"lowrank,monarch",lowrank,0.983507,0.982705,0.920833,0.952257,0.5,0.487772
ministral8b,leave_one_prompt_macro,no_seq_len,13824,"lowrank,monarch",lowrank,0.982928,0.982567,0.899442,0.963469,0.5,0.490697
qwen3_8b,group_split_by_model_task_layer,full,3456,"banded,lowrank,monarch",lowrank,0.940683,0.921853,0.810392,0.837095,0.333333,0.303775
qwen3_8b,leave_one_prompt::BZ01,full,1152,"banded,lowrank,monarch",lowrank,0.953125,0.930063,0.816922,0.891493,0.333333,0.314211
qwen3_8b,leave_one_prompt::BZ02,full,1152,"banded,lowrank,monarch",lowrank,0.954861,0.916048,0.831067,0.888021,0.333333,0.313563
qwen3_8b,leave_one_prompt::BZ05,full,1152,"banded,lowrank,monarch",lowrank,0.960069,0.933424,0.825294,0.877604,0.333333,0.311604
qwen3_8b,leave_one_prompt::BZ09,full,1152,"banded,lowrank,monarch",lowrank,0.959201,0.942916,0.830343,0.880208,0.333333,0.312096
qwen3_8b,leave_one_prompt::TC01,full,1152,"banded,lowrank,monarch",lowrank,0.948785,0.923825,0.803488,0.889757,0.333333,0.313888
qwen3_8b,leave_one_prompt::TC02,full,1152,"banded,lowrank,monarch",lowrank,0.951389,0.936673,0.813582,0.881076,0.333333,0.31226
qwen3_8b,leave_one_prompt::TC08,full,1152,"banded,lowrank,monarch",lowrank,0.961806,0.941436,0.840955,0.878472,0.333333,0.311768
qwen3_8b,leave_one_prompt::TC10,full,1152,"banded,lowrank,monarch",lowrank,0.945312,0.913304,0.791408,0.883681,0.333333,0.31275
qwen3_8b,leave_one_prompt::TR01,full,1152,"banded,lowrank,monarch",lowrank,0.962674,0.968576,0.863468,0.822049,0.333333,0.300778
qwen3_8b,leave_one_prompt::TR02,full,1152,"banded,lowrank,monarch",lowrank,0.965278,0.947119,0.898562,0.827257,0.333333,0.301821
qwen3_8b,leave_one_prompt::TR05,full,1152,"banded,lowrank,monarch",lowrank,0.951389,0.932214,0.836008,0.823785,0.333333,0.301126
qwen3_8b,leave_one_prompt::TR08,full,1152,"banded,lowrank,monarch",lowrank,0.963542,0.89781,0.840254,0.813368,0.333333,0.299027
qwen3_8b,leave_one_prompt_macro,full,13824,"banded,lowrank,monarch",lowrank,0.956453,0.940325,0.836814,0.863064,0.333333,0.308833
qwen3_8b,group_split_by_model_task_layer,no_seq_len,3456,"banded,lowrank,monarch",lowrank,0.940104,0.919964,0.808319,0.837095,0.333333,0.303775
qwen3_8b,leave_one_prompt::BZ01,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.949653,0.92003,0.799106,0.891493,0.333333,0.314211
qwen3_8b,leave_one_prompt::BZ02,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.949653,0.897,0.798123,0.888021,0.333333,0.313563
qwen3_8b,leave_one_prompt::BZ05,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.956597,0.924761,0.808674,0.877604,0.333333,0.311604
qwen3_8b,leave_one_prompt::BZ09,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.954861,0.933925,0.806825,0.880208,0.333333,0.312096
qwen3_8b,leave_one_prompt::TC01,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.948785,0.918126,0.795355,0.889757,0.333333,0.313888
qwen3_8b,leave_one_prompt::TC02,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.950521,0.931352,0.80377,0.881076,0.333333,0.31226
qwen3_8b,leave_one_prompt::TC08,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.956597,0.932115,0.820277,0.878472,0.333333,0.311768
qwen3_8b,leave_one_prompt::TC10,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.943576,0.904936,0.776714,0.883681,0.333333,0.31275
qwen3_8b,leave_one_prompt::TR01,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.963542,0.970285,0.903524,0.822049,0.333333,0.300778
qwen3_8b,leave_one_prompt::TR02,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.96875,0.951384,0.924001,0.827257,0.333333,0.301821
qwen3_8b,leave_one_prompt::TR05,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.957465,0.940176,0.880854,0.823785,0.333333,0.301126
qwen3_8b,leave_one_prompt::TR08,no_seq_len,1152,"banded,lowrank,monarch",lowrank,0.96441,0.827328,0.825208,0.813368,0.333333,0.299027
qwen3_8b,leave_one_prompt_macro,no_seq_len,13824,"banded,lowrank,monarch",lowrank,0.955367,0.934011,0.828493,0.863064,0.333333,0.308833
