target_group,n,banded_mean,banded_median,plr_r4_mean,plr_r4_median,delta_mean,delta_median,wilcoxon_p,banded_top10_mean,plr_r4_top10_mean
high_complex_global,36,0.023317805555555553,0.0075060000000000005,0.035941694444444436,0.0044885,0.012623888888888888,-6.500000000000009e-05,0.8340569073625375,0.9027777777777778,0.9083333333333334
local_band,36,0.03701144444444445,0.010297,0.33761602777777777,0.047534,0.30060458333333334,0.020862500000000003,5.596954724751413e-05,0.8722222222222222,0.7638888888888888
low_rank_diffuse,36,0.0844591388888889,0.0181995,0.03780038888888889,0.013085000000000001,-0.04665875,0.00013850000000000017,0.36241441484889947,0.8416666666666666,0.8888888888888888
