task_id,model_tag,target_group,layer,head,selection_rank,kl_banded,js_banded,top10_banded,kl_plr_r4,js_plr_r4,top10_plr_r4,kl_delta_plr_r4_minus_banded,kl_ratio_plr_r4_over_banded
TC10,qwen3_8b,local_band,12,25,1,0.009856,0.002524,0.9,0.038548,0.009215,0.8,0.028692,3.9111201298701297
TC10,qwen3_8b,local_band,1,4,2,0.006089,0.001522,1.0,0.018729,0.004561,1.0,0.012639999999999998,3.075874527837083
TC10,qwen3_8b,local_band,0,1,3,0.004154,0.001053,1.0,0.057477,0.013199,0.7,0.053323,13.836543090996631
TC10,qwen3_8b,local_band,1,7,4,0.003926,0.00098,1.0,0.004721,0.001187,0.9,0.0007950000000000006,1.2024961793173716
TC10,qwen3_8b,local_band,0,15,5,0.004927,0.001219,1.0,0.014815,0.003762,1.0,0.009888000000000001,3.0069007509640757
TC10,qwen3_8b,local_band,16,27,6,0.010755,0.002657,1.0,1.110897,0.20779,0.7,1.100142,103.29121338912134
TC10,qwen3_8b,low_rank_diffuse,13,12,1,0.013389,0.003338,1.0,0.00484,0.001207,1.0,-0.008549000000000001,0.36149077601015756
TC10,qwen3_8b,low_rank_diffuse,7,6,2,0.031094,0.007482,0.9,0.005297,0.001323,1.0,-0.025797,0.1703544092107802
TC10,qwen3_8b,low_rank_diffuse,7,4,3,0.002138,0.000535,1.0,0.023453,0.005662,0.9,0.021315,10.969597754911131
TC10,qwen3_8b,low_rank_diffuse,9,30,4,0.02162,0.005371,1.0,0.047934,0.011915,0.9,0.026313999999999997,2.217113783533765
TC10,qwen3_8b,low_rank_diffuse,9,8,5,0.016029,0.004064,0.9,0.002922,0.000733,0.9,-0.013107,0.18229459105371512
TC10,qwen3_8b,low_rank_diffuse,9,28,6,0.02037,0.005003,0.9,0.005899,0.001455,1.0,-0.014471,0.28959253804614626
