model_tag,task_id,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist,domain,best_non_sparse_method,best_non_sparse_param,best_non_sparse_frob_rel,best_non_sparse_kl_mean,group_id
gemma3_4b,TR01,4,1,509,187.8189,4.4118,0.2267,0.4848,0.2968,53.6887,travel,monarch,2,0.428548,2.781945,gemma3_4b::TR01::4
gemma3_4b,TR01,4,2,509,146.192,1.2637,0.7913,0.8157,0.041,145.9121,travel,lowrank,16,0.435093,0.958161,gemma3_4b::TR01::4
gemma3_4b,TR01,4,3,509,247.9961,1.5721,0.6361,0.6658,0.3271,88.1537,travel,monarch,2,0.492289,4.247207,gemma3_4b::TR01::4
gemma3_4b,TR01,4,4,509,144.4076,3.3395,0.2994,0.4508,0.3019,33.3141,travel,monarch,2,0.353392,1.59294,gemma3_4b::TR01::4
gemma3_4b,TR01,4,5,509,279.1007,4.8975,0.2042,0.2591,0.6961,41.5818,travel,monarch,2,0.347173,2.06207,gemma3_4b::TR01::4
gemma3_4b,TR01,4,6,509,491.4478,155.8094,0.0064,0.0225,0.9121,10.118,travel,monarch,2,0.085735,0.565315,gemma3_4b::TR01::4
gemma3_4b,TR01,4,7,509,90.1294,1.7492,0.5717,0.8523,0.0687,98.4692,travel,lowrank,16,0.235025,0.202858,gemma3_4b::TR01::4
gemma3_4b,TR01,5,0,509,188.4304,1.2568,0.7957,0.816,0.1368,140.2698,travel,lowrank,16,0.467855,1.189796,gemma3_4b::TR01::5
gemma3_4b,TR01,5,1,509,65.1676,1.0461,0.956,0.9649,0.0452,208.5322,travel,lowrank,16,0.192068,0.416107,gemma3_4b::TR01::5
gemma3_4b,TR01,5,2,509,56.1541,1.0476,0.9545,0.9643,0.0489,217.3688,travel,lowrank,16,0.186457,0.423563,gemma3_4b::TR01::5
gemma3_4b,TR01,5,3,509,84.8531,1.0959,0.9125,0.9303,0.0309,198.9394,travel,lowrank,16,0.309195,0.652056,gemma3_4b::TR01::5
gemma3_4b,TR01,5,4,509,237.7641,2.3694,0.422,0.4906,0.4697,80.3851,travel,monarch,2,0.589571,4.268058,gemma3_4b::TR01::5
gemma3_4b,TR01,5,5,509,68.9456,1.0439,0.9579,0.9728,0.0612,149.6507,travel,lowrank,16,0.161203,0.420124,gemma3_4b::TR01::5
gemma3_4b,TR01,5,6,509,159.0491,1.2058,0.8293,0.8824,0.1093,109.261,travel,lowrank,16,0.310621,0.693276,gemma3_4b::TR01::5
gemma3_4b,TR01,5,7,509,86.3659,1.2379,0.8078,0.8914,0.1247,141.8956,travel,lowrank,16,0.244789,0.481628,gemma3_4b::TR01::5
gemma3_4b,TR01,6,0,509,98.2253,1.0985,0.9103,0.9266,0.143,132.8425,travel,lowrank,16,0.293847,0.65086,gemma3_4b::TR01::6
gemma3_4b,TR01,6,1,509,178.6178,1.2472,0.8018,0.8289,0.3183,121.0797,travel,lowrank,16,0.434571,1.008747,gemma3_4b::TR01::6
gemma3_4b,TR01,6,2,509,154.3006,1.9546,0.5116,0.6688,0.1936,106.025,travel,lowrank,16,0.455827,0.723485,gemma3_4b::TR01::6
gemma3_4b,TR01,6,3,509,133.3922,1.9856,0.5036,0.7931,0.1574,105.3661,travel,lowrank,16,0.359205,0.606379,gemma3_4b::TR01::6
gemma3_4b,TR01,6,4,509,126.4483,1.1006,0.9086,0.9294,0.0515,149.6483,travel,lowrank,16,0.263361,0.61716,gemma3_4b::TR01::6
gemma3_4b,TR01,6,5,509,64.7376,1.0421,0.9596,0.9784,0.0977,131.905,travel,lowrank,16,0.132502,0.312496,gemma3_4b::TR01::6
gemma3_4b,TR01,6,6,509,224.9864,1.9684,0.508,0.5639,0.4545,89.7725,travel,monarch,2,0.573031,4.742478,gemma3_4b::TR01::6
gemma3_4b,TR01,6,7,509,302.6354,1.364,0.7332,0.762,0.3436,100.0309,travel,lowrank,16,0.488005,1.106779,gemma3_4b::TR01::6
gemma3_4b,TR01,7,0,509,387.6928,2.9603,0.3378,0.3587,0.6566,85.9251,travel,monarch,2,0.505602,4.453539,gemma3_4b::TR01::7
gemma3_4b,TR01,7,1,509,317.9746,2.0105,0.4974,0.5252,0.5727,96.3509,travel,monarch,2,0.549779,4.913175,gemma3_4b::TR01::7
gemma3_4b,TR01,7,2,509,138.8184,1.8226,0.5487,0.6103,0.3757,91.508,travel,monarch,2,0.525465,4.494523,gemma3_4b::TR01::7
gemma3_4b,TR01,7,3,509,255.4811,1.9179,0.5214,0.5676,0.4795,105.8611,travel,monarch,2,0.593307,5.514683,gemma3_4b::TR01::7
gemma3_4b,TR01,7,4,509,110.2945,1.6911,0.5913,0.8062,0.111,99.4487,travel,lowrank,16,0.33244,0.513961,gemma3_4b::TR01::7
gemma3_4b,TR01,7,5,509,198.6526,3.4465,0.2901,0.3664,0.4463,66.7481,travel,monarch,2,0.448541,3.369789,gemma3_4b::TR01::7
gemma3_4b,TR01,7,6,509,149.3666,1.2468,0.8021,0.8453,0.1607,96.115,travel,lowrank,16,0.352706,0.719123,gemma3_4b::TR01::7
gemma3_4b,TR01,7,7,509,226.1175,2.1911,0.4564,0.5237,0.2122,75.5685,travel,monarch,2,0.501453,4.257591,gemma3_4b::TR01::7
gemma3_4b,TR01,8,0,509,202.7695,1.3483,0.7417,0.7906,0.3297,112.3411,travel,lowrank,16,0.463889,1.098953,gemma3_4b::TR01::8
gemma3_4b,TR01,8,1,509,321.3415,1.7782,0.5624,0.5976,0.3472,95.5522,travel,monarch,2,0.590627,5.156339,gemma3_4b::TR01::8
gemma3_4b,TR01,8,2,509,214.1967,1.5351,0.6514,0.7014,0.3766,112.4309,travel,lowrank,16,0.575067,1.525094,gemma3_4b::TR01::8
gemma3_4b,TR01,8,3,509,121.9454,1.0883,0.9189,0.9259,0.2394,158.7104,travel,lowrank,16,0.368363,0.900461,gemma3_4b::TR01::8
gemma3_4b,TR01,8,4,509,157.9091,1.8041,0.5543,0.6814,0.2164,82.5286,travel,lowrank,16,0.48542,0.836301,gemma3_4b::TR01::8
gemma3_4b,TR01,8,5,509,162.9701,1.5244,0.656,0.7163,0.2936,106.1975,travel,lowrank,16,0.538817,1.117883,gemma3_4b::TR01::8
gemma3_4b,TR01,8,6,509,192.5161,1.9811,0.5048,0.5899,0.2815,69.235,travel,monarch,2,0.556595,3.667809,gemma3_4b::TR01::8
gemma3_4b,TR01,8,7,509,234.681,2.0578,0.4859,0.5386,0.5,97.0827,travel,monarch,2,0.594522,5.216711,gemma3_4b::TR01::8
gemma3_4b,TR01,9,0,509,194.5136,2.3676,0.4224,0.5383,0.2992,84.6915,travel,monarch,2,0.587129,4.59813,gemma3_4b::TR01::9
gemma3_4b,TR01,9,1,509,206.6317,1.6944,0.5902,0.6572,0.3262,100.2472,travel,lowrank,16,0.556445,1.210987,gemma3_4b::TR01::9
gemma3_4b,TR01,9,2,509,113.9783,1.3506,0.7404,0.8589,0.0868,111.9261,travel,lowrank,16,0.298264,0.517905,gemma3_4b::TR01::9
gemma3_4b,TR01,9,3,509,175.4334,1.761,0.5679,0.6744,0.1259,114.2602,travel,lowrank,16,0.508606,0.880916,gemma3_4b::TR01::9
gemma3_4b,TR01,9,4,509,130.9524,1.8887,0.5295,0.6783,0.1347,108.2737,travel,lowrank,16,0.454488,0.742637,gemma3_4b::TR01::9
gemma3_4b,TR01,9,5,509,175.4247,2.3992,0.4168,0.5821,0.2242,86.9308,travel,monarch,2,0.565198,5.130671,gemma3_4b::TR01::9
gemma3_4b,TR01,9,6,509,112.0046,1.0906,0.917,0.9345,0.1065,117.6049,travel,lowrank,16,0.258675,0.577551,gemma3_4b::TR01::9
