task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,gemma3_4b,7,6,509,149.3666,1.2468,0.8021,0.8453,0.1607,96.115
TR01,travel,gemma3_4b,7,7,509,226.1175,2.1911,0.4564,0.5237,0.2122,75.5685
TR01,travel,gemma3_4b,8,0,509,202.7695,1.3483,0.7417,0.7906,0.3297,112.3411
TR01,travel,gemma3_4b,8,1,509,321.3415,1.7782,0.5624,0.5976,0.3472,95.5522
TR01,travel,gemma3_4b,8,2,509,214.1967,1.5351,0.6514,0.7014,0.3766,112.4309
TR01,travel,gemma3_4b,8,3,509,121.9454,1.0883,0.9189,0.9259,0.2394,158.7104
TR01,travel,gemma3_4b,8,4,509,157.9091,1.8041,0.5543,0.6814,0.2164,82.5286
TR01,travel,gemma3_4b,8,5,509,162.9701,1.5244,0.656,0.7163,0.2936,106.1975
TR01,travel,gemma3_4b,8,6,509,192.5161,1.9811,0.5048,0.5899,0.2815,69.235
TR01,travel,gemma3_4b,8,7,509,234.681,2.0578,0.4859,0.5386,0.5,97.0827
TR01,travel,gemma3_4b,9,0,509,194.5136,2.3676,0.4224,0.5383,0.2992,84.6915
TR01,travel,gemma3_4b,9,1,509,206.6317,1.6944,0.5902,0.6572,0.3262,100.2472
TR01,travel,gemma3_4b,9,2,509,113.9783,1.3506,0.7404,0.8589,0.0868,111.9261
TR01,travel,gemma3_4b,9,3,509,175.4334,1.761,0.5679,0.6744,0.1259,114.2602
TR01,travel,gemma3_4b,9,4,509,130.9524,1.8887,0.5295,0.6783,0.1347,108.2737
TR01,travel,gemma3_4b,9,5,509,175.4247,2.3992,0.4168,0.5821,0.2242,86.9308
TR01,travel,gemma3_4b,9,6,509,112.0046,1.0906,0.917,0.9345,0.1065,117.6049
TR01,travel,gemma3_4b,9,7,509,187.6584,1.6147,0.6193,0.6655,0.1774,91.0902
TR01,travel,gemma3_4b,10,0,509,245.1417,3.0723,0.3255,0.3819,0.5099,55.2109
TR01,travel,gemma3_4b,10,1,509,405.2073,3.7527,0.2665,0.2922,0.6851,74.4254
TR01,travel,gemma3_4b,10,2,509,92.0914,1.1158,0.8962,0.9452,0.0966,131.7624
TR01,travel,gemma3_4b,10,3,509,114.0772,1.0901,0.9173,0.9367,0.1582,132.7147
TR01,travel,gemma3_4b,10,4,509,114.7302,1.2702,0.7873,0.8638,0.1639,104.4237
TR01,travel,gemma3_4b,10,5,509,226.2068,1.264,0.7911,0.8326,0.2318,99.5957
TR01,travel,gemma3_4b,10,6,509,169.3532,1.3831,0.723,0.7653,0.3071,98.1883
TR01,travel,gemma3_4b,10,7,509,119.9626,1.1744,0.8515,0.891,0.2349,129.0546
TR01,travel,gemma3_4b,11,0,509,127.793,1.1409,0.8765,0.9187,0.1184,116.4421
TR01,travel,gemma3_4b,11,1,509,61.1846,1.0439,0.9579,0.9699,0.0873,176.8666
TR01,travel,gemma3_4b,11,2,509,285.4343,1.4788,0.6762,0.7196,0.2478,128.73
TR01,travel,gemma3_4b,11,3,509,132.2299,1.0988,0.9101,0.9408,0.1157,141.8169
TR01,travel,gemma3_4b,11,4,509,200.1195,1.4466,0.6913,0.735,0.1331,113.1758
TR01,travel,gemma3_4b,11,5,509,35.2016,1.0383,0.9631,0.9763,0.0364,222.8012
TR01,travel,gemma3_4b,11,6,509,160.461,2.9889,0.3346,0.5654,0.1689,101.3659
TR01,travel,gemma3_4b,11,7,509,165.2833,3.3071,0.3024,0.6638,0.1752,99.9793
TR01,travel,gemma3_4b,12,0,509,133.3864,1.2659,0.7899,0.8349,0.152,114.276
TR01,travel,gemma3_4b,12,1,509,137.2502,1.3443,0.7439,0.8119,0.0752,120.9876
TR01,travel,gemma3_4b,12,2,509,273.6886,8.3855,0.1193,0.2056,0.5513,37.4818
TR01,travel,gemma3_4b,12,3,509,168.9589,1.5969,0.6262,0.7164,0.2052,73.1985
TR01,travel,gemma3_4b,12,4,509,168.3491,3.5565,0.2812,0.5148,0.2468,71.3567
TR01,travel,gemma3_4b,12,5,509,282.9942,1.818,0.55,0.5995,0.3456,90.7326
TR01,travel,gemma3_4b,12,6,509,226.9946,2.9883,0.3346,0.4306,0.3015,72.6092
TR01,travel,gemma3_4b,12,7,509,217.8193,2.0687,0.4834,0.5635,0.3524,93.0649
TR01,travel,gemma3_4b,13,0,509,270.2978,1.944,0.5144,0.5485,0.5615,94.943
TR01,travel,gemma3_4b,13,1,509,290.0559,2.0262,0.4935,0.5244,0.5708,89.0923
TR01,travel,gemma3_4b,13,2,509,129.1191,1.1271,0.8872,0.9151,0.1392,123.4499
TR01,travel,gemma3_4b,13,3,509,199.1802,2.1126,0.4734,0.5324,0.2728,72.4273
TR01,travel,gemma3_4b,13,4,509,136.3201,1.3449,0.7435,0.8165,0.1472,109.1198
