task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,ministral8b,1,24,667,35.9909,1.0423,0.9594,0.994,0.0528,221.8308
TR01,travel,ministral8b,1,25,667,7.2256,1.0315,0.9695,0.9989,0.0254,277.5695
TR01,travel,ministral8b,1,26,667,96.3692,1.053,0.9497,0.9764,0.1237,224.6118
TR01,travel,ministral8b,1,27,667,85.9238,1.0784,0.9273,0.961,0.1483,205.1948
TR01,travel,ministral8b,1,28,667,38.8905,1.0393,0.9622,0.9933,0.0516,240.994
TR01,travel,ministral8b,1,29,667,22.5753,1.0311,0.9698,0.9973,0.0451,251.9089
TR01,travel,ministral8b,1,30,667,147.6403,1.0926,0.9152,0.9446,0.157,254.5404
TR01,travel,ministral8b,1,31,667,103.7287,1.0363,0.965,0.9869,0.1007,284.3324
TR01,travel,ministral8b,2,0,667,24.0353,1.033,0.9681,0.9983,0.04,274.3797
TR01,travel,ministral8b,2,1,667,38.6608,1.0607,0.9428,0.9915,0.0547,237.3395
TR01,travel,ministral8b,2,2,667,59.4917,1.05,0.9524,0.9885,0.0873,262.5148
TR01,travel,ministral8b,2,3,667,17.0393,1.0401,0.9614,0.9974,0.0383,246.1925
TR01,travel,ministral8b,2,4,667,40.8098,1.0367,0.9646,0.9929,0.0836,290.7334
TR01,travel,ministral8b,2,5,667,120.1125,1.0746,0.9306,0.9548,0.1792,257.9639
TR01,travel,ministral8b,2,6,667,205.401,1.1161,0.8959,0.9224,0.2036,258.4288
TR01,travel,ministral8b,2,7,667,154.3914,1.0501,0.9523,0.9723,0.1332,284.8375
TR01,travel,ministral8b,2,8,667,23.2852,1.0358,0.9654,0.9933,0.0608,250.4088
TR01,travel,ministral8b,2,9,667,158.32,1.0711,0.9336,0.9582,0.2174,242.0315
TR01,travel,ministral8b,2,10,667,395.3635,1.1307,0.8844,0.9118,0.2268,254.6032
TR01,travel,ministral8b,2,11,667,31.6323,1.0314,0.9696,0.9983,0.0432,281.6248
TR01,travel,ministral8b,2,12,667,83.9659,1.0528,0.9499,0.973,0.1263,273.99
TR01,travel,ministral8b,2,13,667,158.4592,1.0715,0.9333,0.9561,0.1961,253.9816
TR01,travel,ministral8b,2,14,667,114.875,1.0836,0.9229,0.9514,0.1598,236.6634
TR01,travel,ministral8b,2,15,667,113.1908,1.1192,0.8935,0.927,0.1772,216.9932
TR01,travel,ministral8b,2,16,667,10.3474,1.0239,0.9767,0.9987,0.0316,260.9357
TR01,travel,ministral8b,2,17,667,49.0935,1.0677,0.9366,0.9757,0.0768,213.3457
TR01,travel,ministral8b,2,18,667,117.6094,1.0789,0.9269,0.9634,0.1369,189.4837
TR01,travel,ministral8b,2,19,667,26.2008,1.0417,0.96,0.9952,0.0365,221.8695
TR01,travel,ministral8b,2,20,667,204.187,1.1409,0.8765,0.9075,0.2158,231.3092
TR01,travel,ministral8b,2,21,667,156.4655,1.0415,0.9601,0.9856,0.1024,268.974
TR01,travel,ministral8b,2,22,667,121.4731,1.1084,0.9022,0.9585,0.1513,230.6017
TR01,travel,ministral8b,2,23,667,171.5908,1.1169,0.8953,0.9254,0.2025,240.1062
TR01,travel,ministral8b,2,24,667,215.1829,1.217,0.8217,0.8578,0.2646,212.6327
TR01,travel,ministral8b,2,25,667,60.0613,1.0425,0.9593,0.9862,0.1074,269.1779
TR01,travel,ministral8b,2,26,667,140.1161,1.0903,0.9172,0.9654,0.1278,257.8814
TR01,travel,ministral8b,2,27,667,85.3558,1.0505,0.9519,0.9752,0.1201,266.4485
TR01,travel,ministral8b,2,28,667,177.2672,1.0746,0.9306,0.9591,0.1469,273.6632
TR01,travel,ministral8b,2,29,667,133.8754,1.0464,0.9557,0.9808,0.0748,253.1142
TR01,travel,ministral8b,2,30,667,75.7815,1.0488,0.9535,0.9798,0.1058,293.495
TR01,travel,ministral8b,2,31,667,227.6115,1.1117,0.8996,0.9268,0.2072,253.4684
TR01,travel,ministral8b,3,0,667,162.2346,1.0705,0.9341,0.952,0.2,248.8351
TR01,travel,ministral8b,3,1,667,110.2514,1.0686,0.9358,0.9545,0.1398,250.5184
TR01,travel,ministral8b,3,2,667,213.6168,1.0362,0.965,0.9769,0.1313,266.9463
TR01,travel,ministral8b,3,3,667,69.3752,1.0477,0.9545,0.975,0.0271,258.5872
TR01,travel,ministral8b,3,4,667,96.0348,1.0775,0.9281,0.9729,0.1385,261.2038
TR01,travel,ministral8b,3,5,667,40.4625,1.0284,0.9724,0.9929,0.0742,256.7095
TR01,travel,ministral8b,3,6,667,68.5342,1.0561,0.9469,0.979,0.092,244.6589
TR01,travel,ministral8b,3,7,667,37.3346,1.0409,0.9607,0.994,0.0786,280.9053
TR01,travel,ministral8b,3,8,667,60.2998,1.0391,0.9623,0.9869,0.0279,280.1911
TR01,travel,ministral8b,3,9,667,75.7659,1.0327,0.9683,0.9871,0.0896,288.0909
TR01,travel,ministral8b,3,10,667,49.4237,1.0367,0.9646,0.9878,0.0566,288.3325
TR01,travel,ministral8b,3,11,667,31.1871,1.0366,0.9647,0.9937,0.0185,298.5783
TR01,travel,ministral8b,3,12,667,10.7172,1.0095,0.9906,0.9988,0.0213,278.1296
TR01,travel,ministral8b,3,13,667,42.3379,1.0242,0.9764,0.988,0.0219,303.281
TR01,travel,ministral8b,3,14,667,74.5457,1.0496,0.9527,0.9698,0.0338,275.872
TR01,travel,ministral8b,3,15,667,65.9887,1.0534,0.9493,0.9672,0.0255,278.222
TR01,travel,ministral8b,3,16,667,75.9242,1.1032,0.9065,0.985,0.1079,287.514
TR01,travel,ministral8b,3,17,667,82.9057,1.1297,0.8852,0.9614,0.1492,257.7343
TR01,travel,ministral8b,3,18,667,54.0088,1.0869,0.9201,0.9795,0.1049,274.6681
TR01,travel,ministral8b,3,19,667,33.115,1.1053,0.9047,0.9886,0.0664,289.8618
TR01,travel,ministral8b,3,20,667,46.1047,1.0726,0.9323,0.9867,0.0636,233.1181
TR01,travel,ministral8b,3,21,667,20.3995,1.0273,0.9734,0.9958,0.0418,248.9615
