task_id,model_tag,layer,head,seq_len,intervention_type,band_width,plr_rank,target_group,selection_rank,source_erank,source_diag_conc,source_mean_dist,intervention_fired,kl_div,js_div,top10_overlap
BZ01,qwen3_8b,12,25,205,plr,5,4,local_band,1,312.42988333333335,0.9706666666666667,2.1846583333333336,1,0.059562,0.017288,0.8
BZ01,qwen3_8b,1,4,205,plr,5,4,local_band,2,295.31876666666665,0.9724416666666666,2.5935166666666665,1,0.050028,0.01411,0.7
BZ01,qwen3_8b,0,1,205,plr,5,4,local_band,3,299.2618166666667,0.9419916666666667,4.321808333333333,1,1.268368,0.291061,0.4
BZ01,qwen3_8b,1,7,205,plr,5,4,local_band,4,216.56581666666668,0.9095166666666666,6.7790333333333335,1,0.04504,0.013533,0.8
BZ01,qwen3_8b,0,15,205,plr,5,4,local_band,5,275.8919333333333,0.8991666666666666,5.394175000000001,1,0.276731,0.079129,0.7
BZ01,qwen3_8b,16,27,205,plr,5,4,local_band,6,311.0004833333333,0.9144833333333334,9.318125,1,5.145732,0.655383,0.1
BZ01,qwen3_8b,13,12,205,plr,5,4,low_rank_diffuse,1,1.0086083333333333,0.022675,156.03235,1,0.010519,0.002873,1.0
BZ01,qwen3_8b,7,6,205,plr,5,4,low_rank_diffuse,2,1.586575,0.0234,154.88856666666666,1,0.124956,0.022919,0.7
BZ01,qwen3_8b,7,4,205,plr,5,4,low_rank_diffuse,3,2.36105,0.028991666666666666,155.08359166666665,1,0.067151,0.017423,0.5
BZ01,qwen3_8b,9,30,205,plr,5,4,low_rank_diffuse,4,1.7939666666666667,0.026591666666666666,153.53786666666667,1,0.03386,0.00815,0.7
BZ01,qwen3_8b,9,8,205,plr,5,4,low_rank_diffuse,5,2.4780666666666664,0.025316666666666668,153.0492,1,0.043046,0.008931,0.8
BZ01,qwen3_8b,9,28,205,plr,5,4,low_rank_diffuse,6,3.034283333333333,0.03038333333333333,152.54668333333333,1,0.075427,0.020919,0.9
BZ09,qwen3_8b,35,24,224,plr,5,4,high_complex_global,1,133.98024166666667,0.24324166666666666,120.08909166666666,1,0.000544,0.000136,0.9
BZ09,qwen3_8b,10,21,224,plr,5,4,high_complex_global,2,245.31154166666667,0.3555166666666667,80.43694166666667,1,0.013214,0.003303,0.7
BZ09,qwen3_8b,10,28,224,plr,5,4,high_complex_global,3,187.74440833333333,0.2881,96.37383333333334,1,0.029269,0.007232,0.7
BZ09,qwen3_8b,7,11,224,plr,5,4,high_complex_global,4,156.45879166666666,0.274425,106.92231666666667,1,0.019219,0.004749,0.9
BZ09,qwen3_8b,11,1,224,plr,5,4,high_complex_global,5,179.31461666666667,0.2582666666666667,90.15249999999999,1,0.248083,0.057831,0.6
BZ09,qwen3_8b,24,24,224,plr,5,4,high_complex_global,6,197.04217500000001,0.28646666666666665,83.71994166666667,1,0.002097,0.000524,0.9
BZ09,qwen3_8b,12,25,224,plr,5,4,local_band,1,312.42988333333335,0.9706666666666667,2.1846583333333336,1,0.013134,0.003258,0.9
BZ09,qwen3_8b,1,4,224,plr,5,4,local_band,2,295.31876666666665,0.9724416666666666,2.5935166666666665,1,0.516685,0.105575,0.2
BZ09,qwen3_8b,0,1,224,plr,5,4,local_band,3,299.2618166666667,0.9419916666666667,4.321808333333333,1,0.086926,0.02132,0.7
BZ09,qwen3_8b,1,7,224,plr,5,4,local_band,4,216.56581666666668,0.9095166666666666,6.7790333333333335,1,0.008103,0.00202,0.8
BZ09,qwen3_8b,0,15,224,plr,5,4,local_band,5,275.8919333333333,0.8991666666666666,5.394175000000001,1,0.205052,0.04768,0.5
BZ09,qwen3_8b,16,27,224,plr,5,4,local_band,6,311.0004833333333,0.9144833333333334,9.318125,1,1.701365,0.305174,0.3
BZ09,qwen3_8b,13,12,224,plr,5,4,low_rank_diffuse,1,1.0086083333333333,0.022675,156.03235,1,0.003116,0.000776,0.8
BZ09,qwen3_8b,7,6,224,plr,5,4,low_rank_diffuse,2,1.586575,0.0234,154.88856666666666,1,0.020213,0.005082,0.9
BZ09,qwen3_8b,7,4,224,plr,5,4,low_rank_diffuse,3,2.36105,0.028991666666666666,155.08359166666665,1,0.04938,0.011957,0.8
BZ09,qwen3_8b,9,30,224,plr,5,4,low_rank_diffuse,4,1.7939666666666667,0.026591666666666666,153.53786666666667,1,0.002769,0.000689,0.8
BZ09,qwen3_8b,9,8,224,plr,5,4,low_rank_diffuse,5,2.4780666666666664,0.025316666666666668,153.0492,1,0.183766,0.043356,0.6
BZ09,qwen3_8b,9,28,224,plr,5,4,low_rank_diffuse,6,3.034283333333333,0.03038333333333333,152.54668333333333,1,0.072505,0.017598,0.7
TC01,qwen3_8b,35,24,211,plr,5,4,high_complex_global,1,133.98024166666667,0.24324166666666666,120.08909166666666,1,0.002991,0.000769,1.0
TC01,qwen3_8b,10,21,211,plr,5,4,high_complex_global,2,245.31154166666667,0.3555166666666667,80.43694166666667,1,0.027901,0.006861,0.9
TC01,qwen3_8b,10,28,211,plr,5,4,high_complex_global,3,187.74440833333333,0.2881,96.37383333333334,1,0.097161,0.024567,1.0
TC01,qwen3_8b,7,11,211,plr,5,4,high_complex_global,4,156.45879166666666,0.274425,106.92231666666667,1,0.022427,0.005209,0.9
TC01,qwen3_8b,11,1,211,plr,5,4,high_complex_global,5,179.31461666666667,0.2582666666666667,90.15249999999999,1,0.01599,0.004027,0.9
