task_id,model_tag,layer,head,seq_len,intervention_type,band_width,plr_rank,target_group,selection_rank,source_erank,source_diag_conc,source_mean_dist,intervention_fired,kl_div,js_div,top10_overlap
TR01,qwen3_8b,13,12,484,plr,5,2,low_rank_diffuse,1,1.0086083333333333,0.022675,156.03235,1,0.009919,0.002426,1.0
TR01,qwen3_8b,7,6,484,plr,5,2,low_rank_diffuse,2,1.586575,0.0234,154.88856666666666,1,0.005415,0.001309,0.9
TR01,qwen3_8b,7,4,484,plr,5,2,low_rank_diffuse,3,2.36105,0.028991666666666666,155.08359166666665,1,0.006869,0.001679,0.9
TR01,qwen3_8b,9,30,484,plr,5,2,low_rank_diffuse,4,1.7939666666666667,0.026591666666666666,153.53786666666667,1,0.009824,0.002403,1.0
TR01,qwen3_8b,9,8,484,plr,5,2,low_rank_diffuse,5,2.4780666666666664,0.025316666666666668,153.0492,1,0.002463,0.000598,0.9
TR01,qwen3_8b,9,28,484,plr,5,2,low_rank_diffuse,6,3.034283333333333,0.03038333333333333,152.54668333333333,1,0.001156,0.000298,0.9
TR08,qwen3_8b,13,12,574,plr,5,2,low_rank_diffuse,1,1.0086083333333333,0.022675,156.03235,1,0.00234,0.000584,1.0
TR08,qwen3_8b,7,6,574,plr,5,2,low_rank_diffuse,2,1.586575,0.0234,154.88856666666666,1,0.003541,0.000897,1.0
TR08,qwen3_8b,7,4,574,plr,5,2,low_rank_diffuse,3,2.36105,0.028991666666666666,155.08359166666665,1,0.035643,0.007827,0.9
TR08,qwen3_8b,9,30,574,plr,5,2,low_rank_diffuse,4,1.7939666666666667,0.026591666666666666,153.53786666666667,1,0.008726,0.002095,1.0
TR08,qwen3_8b,9,8,574,plr,5,2,low_rank_diffuse,5,2.4780666666666664,0.025316666666666668,153.0492,1,0.006027,0.001554,1.0
TR08,qwen3_8b,9,28,574,plr,5,2,low_rank_diffuse,6,3.034283333333333,0.03038333333333333,152.54668333333333,1,0.00495,0.001241,1.0
BZ01,qwen3_8b,13,12,205,plr,5,2,low_rank_diffuse,1,1.0086083333333333,0.022675,156.03235,1,0.005536,0.001481,1.0
BZ01,qwen3_8b,7,6,205,plr,5,2,low_rank_diffuse,2,1.586575,0.0234,154.88856666666666,1,0.149498,0.025644,0.7
BZ01,qwen3_8b,7,4,205,plr,5,2,low_rank_diffuse,3,2.36105,0.028991666666666666,155.08359166666665,1,0.086683,0.023784,0.6
BZ01,qwen3_8b,9,30,205,plr,5,2,low_rank_diffuse,4,1.7939666666666667,0.026591666666666666,153.53786666666667,1,0.035231,0.008351,0.7
BZ01,qwen3_8b,9,8,205,plr,5,2,low_rank_diffuse,5,2.4780666666666664,0.025316666666666668,153.0492,1,0.083969,0.016405,0.8
BZ01,qwen3_8b,9,28,205,plr,5,2,low_rank_diffuse,6,3.034283333333333,0.03038333333333333,152.54668333333333,1,0.027346,0.007371,1.0
BZ09,qwen3_8b,13,12,224,plr,5,2,low_rank_diffuse,1,1.0086083333333333,0.022675,156.03235,1,0.039202,0.009599,0.7
BZ09,qwen3_8b,7,6,224,plr,5,2,low_rank_diffuse,2,1.586575,0.0234,154.88856666666666,1,0.032275,0.008223,0.9
BZ09,qwen3_8b,7,4,224,plr,5,2,low_rank_diffuse,3,2.36105,0.028991666666666666,155.08359166666665,1,0.106471,0.025306,0.6
BZ09,qwen3_8b,9,30,224,plr,5,2,low_rank_diffuse,4,1.7939666666666667,0.026591666666666666,153.53786666666667,1,0.036095,0.008868,0.7
BZ09,qwen3_8b,9,8,224,plr,5,2,low_rank_diffuse,5,2.4780666666666664,0.025316666666666668,153.0492,1,0.047885,0.011697,0.7
BZ09,qwen3_8b,9,28,224,plr,5,2,low_rank_diffuse,6,3.034283333333333,0.03038333333333333,152.54668333333333,1,0.163916,0.039046,0.7
TC01,qwen3_8b,13,12,211,plr,5,2,low_rank_diffuse,1,1.0086083333333333,0.022675,156.03235,1,0.016797,0.00423,0.9
TC01,qwen3_8b,7,6,211,plr,5,2,low_rank_diffuse,2,1.586575,0.0234,154.88856666666666,1,0.053327,0.013406,1.0
TC01,qwen3_8b,7,4,211,plr,5,2,low_rank_diffuse,3,2.36105,0.028991666666666666,155.08359166666665,1,0.188094,0.04875,0.7
TC01,qwen3_8b,9,30,211,plr,5,2,low_rank_diffuse,4,1.7939666666666667,0.026591666666666666,153.53786666666667,1,0.063662,0.016061,0.8
TC01,qwen3_8b,9,8,211,plr,5,2,low_rank_diffuse,5,2.4780666666666664,0.025316666666666668,153.0492,1,0.137659,0.03565,0.9
TC01,qwen3_8b,9,28,211,plr,5,2,low_rank_diffuse,6,3.034283333333333,0.03038333333333333,152.54668333333333,1,0.056445,0.014164,0.8
TC10,qwen3_8b,13,12,234,plr,5,2,low_rank_diffuse,1,1.0086083333333333,0.022675,156.03235,1,0.006573,0.001624,1.0
TC10,qwen3_8b,7,6,234,plr,5,2,low_rank_diffuse,2,1.586575,0.0234,154.88856666666666,1,0.005352,0.001328,1.0
TC10,qwen3_8b,7,4,234,plr,5,2,low_rank_diffuse,3,2.36105,0.028991666666666666,155.08359166666665,1,0.027316,0.006667,0.9
TC10,qwen3_8b,9,30,234,plr,5,2,low_rank_diffuse,4,1.7939666666666667,0.026591666666666666,153.53786666666667,1,0.010366,0.002611,0.9
TC10,qwen3_8b,9,8,234,plr,5,2,low_rank_diffuse,5,2.4780666666666664,0.025316666666666668,153.0492,1,0.003956,0.000997,0.9
TC10,qwen3_8b,9,28,234,plr,5,2,low_rank_diffuse,6,3.034283333333333,0.03038333333333333,152.54668333333333,1,0.003747,0.000942,1.0
